id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2015,Berlin-Mitte Value! Quiet courtyard/very central,2217,Ian,Mitte,Brunnenstr. SÃ¼d,52.53453732,13.40255693,Entire home/apt,60,4,118,10/28/2018,3.76,4,141
2695,Prenzlauer Berg close to Mauerpark,2986,Michael,Pankow,Prenzlauer Berg Nordwest,52.54851279,13.40455283,Private room,17,2,6,10/1/2018,1.42,1,0
3176,Fabulous Flat in great Location,3718,Britta,Pankow,Prenzlauer Berg SÃ¼dwest,52.53499619,13.41757867,Entire home/apt,90,62,143,3/20/2017,1.25,1,220
3309,BerlinSpot SchÃ¶neberg near KaDeWe,4108,Jana,Tempelhof - SchÃ¶neberg,SchÃ¶neberg-Nord,52.49885493,13.34906453,Private room,26,5,25,8/16/2018,0.39,1,297
7071,BrightRoom with sunny greenview!,17391,Bright,Pankow,Helmholtzplatz,52.54315726,13.4150911,Private room,42,2,197,11/4/2018,1.75,1,26
9991,Geourgeous flat - outstanding views,33852,Philipp,Pankow,Prenzlauer Berg SÃ¼dwest,52.53303077,13.41604682,Entire home/apt,180,6,6,7/23/2018,0.15,1,137
14325,Apartment in Prenzlauer Berg,55531,Chris + Oliver,Pankow,Prenzlauer Berg Nordwest,52.54784641,13.40556224,Entire home/apt,70,90,23,11/1/2018,0.23,3,129
16401,APARTMENT TO RENT,59666,Melanie,Friedrichshain-Kreuzberg,Frankfurter Allee SÃ¼d FK,52.510514,13.45785024,Private room,120,30,0,,,1,365
16644,In the Heart of Berlin - Kreuzberg,64696,Rene,Friedrichshain-Kreuzberg,nÃ¶rdliche Luisenstadt,52.50479227,13.43510185,Entire home/apt,90,60,48,12/14/2017,0.47,2,159
17409,Downtown Above The Roofs In Berlin,67590,Wolfram,Pankow,Prenzlauer Berg SÃ¼dwest,52.52907092,13.41284339,Private room,45,3,279,10/31/2018,2.83,1,42
17904,Beautiful Kreuzberg studio/WiFi (reg. pend.),68997,Matthias,NeukÃ¶lln,ReuterstraÃŸe,52.49547633,13.42182128,Entire home/apt,49,5,223,10/30/2018,2.1,1,232
20858,Designer Loft in Berlin Mitte,71331,Marc,Pankow,Prenzlauer Berg SÃ¼dwest,52.53695243,13.40761503,Entire home/apt,129,3,56,10/20/2018,0.75,1,166
21869,Studio in the Heart of Kreuzberg,64696,Rene,Friedrichshain-Kreuzberg,nÃ¶rdliche Luisenstadt,52.50273333,13.43461986,Entire home/apt,70,60,60,6/5/2016,0.61,2,129
22415,Stylishly furnished 3 room flat,86068,Kiki,Friedrichshain-Kreuzberg,sÃ¼dliche Luisenstadt,52.49485062,13.4285006,Entire home/apt,98,3,61,10/1/2018,0.59,2,257
22677,Prenzel garden with leafy terrace,87357,Ramfis,Mitte,Brunnenstr. SÃ¼d,52.53434836,13.40557652,Entire home/apt,160,3,223,11/5/2018,2.27,1,228
23834,Apartment in the heart of Berlin,94918,Tanja,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.48971443,13.37974758,Entire home/apt,65,60,96,6/30/2018,0.94,1,275
24569,Sunny & Wheelchair accessible,99662,Dominik,Pankow,Prenzlauer Berg SÃ¼dwest,52.53079085,13.41808444,Entire home/apt,90,3,18,8/25/2018,0.18,2,3
25653,Sunny & stylish 150 sqm apartment,99662,Dominik,Pankow,Prenzlauer Berg SÃ¼d,52.53025874,13.41946696,Entire home/apt,90,4,5,8/14/2016,0.05,2,15
26543,Helmholtzplatz Bright&Spacious Apt.,112675,Terri,Pankow,Helmholtzplatz,52.54406239,13.42137652,Entire home/apt,197,3,163,11/5/2018,1.63,1,336
28156,Beautiful apartment in Prenzlauer Berg,55531,Chris + Oliver,Pankow,Prenzlauer Berg Nordwest,52.54671937,13.40511702,Entire home/apt,70,90,28,4/29/2017,0.29,3,191
28268,Cozy Berlin Friedrichshain for1/6 p,121580,Elena,Friedrichshain-Kreuzberg,Frankfurter Allee SÃ¼d FK,52.51338523,13.46994751,Entire home/apt,90,5,30,8/2/2017,0.33,1,55
28711,Silent Studio-apt in KreuzkÃ¶lln,84157,Emanuela,NeukÃ¶lln,ReuterstraÃŸe,52.48610615,13.43481698,Entire home/apt,60,2,1,8/13/2013,0.02,10,341
29279,Quiet 2 rooms next Helmholtzplatz,54283,Marine,Pankow,Helmholtzplatz,52.54178765,13.42388316,Entire home/apt,130,60,69,7/31/2018,0.7,3,221
30295,PEACEFUL FLAT WITH VINTAGE TOUCH IN PRENZLAUERBERG,485838,Michele,Pankow,Helmholtzplatz,52.54596726,13.42235887,Entire home/apt,100,4,240,10/31/2018,2.42,4,296
31440,"Nice Room in Prenzlauerberg,",135046,Thomas,Pankow,Helmholtzplatz,52.54308929,13.42245309,Private room,44,1,28,10/28/2018,4.94,1,361
33043,Central Bright Bellevue Free Parking WIFI 4G,143180,Claudio&Irina,Mitte,Moabit Ost,52.52141798,13.3570823,Entire home/apt,62,3,144,11/4/2018,1.44,1,343
35642,Cozy 2 Room Apartment in trendy Prenzlauer Berg,153252,Thorsten,Pankow,Prenzlauer Berg Nord,52.54936126,13.41822767,Entire home/apt,55,60,1,9/16/2010,0.01,1,89
36480,ChimaysaberlinB&B Single Bedroom,156897,Helen,Charlottenburg-Wilm.,Otto-Suhr-Allee,52.51967658,13.30208876,Private room,40,1,33,10/19/2018,1.63,2,297
